rhyme,kanjis
pB,人春塵新身眞神親臣鄰貧津頻民巾辰輪賓珍濱秦鱗陳倫仁因辛麟晨淪伸嗔巡宸旬綸勻紳薪茵顰銀均鈞蘋馴峋醇旻申淳唇榛論闉循閩筠蒓粼椿囷緡蓴屯臻珉純詢垠皴磷振呻遵諄嚬姻寅瞋岷湮裀禋恂漘鶉瀕堙紉踆迍泯嬪彬甄莘燐嚚轔蓁詵珣荀掄璘信齗豳狺潾驎畇貞氤逡駪駰繽矉歅絪麇輴夤紃嶙溱甡殷畛肫邠奫洵螓菌誾竣玢侁犉窀豩鄞矜誾斌郇兟諲蠙殥錞僎娠忞鑌蜦墐轃罠珢翷塡檳瞵袀抻籸旼圇栒桭茞輑鷷笢霦禛筃圳贇朲壣瞤螾繗侲麐橁儐盹箘玭捘汃眒璸礥碅訔玟鞇嗪獜暋盿蔯鶞碖驞緸鷐莙洇衠峮螴峾頵痻棆厸鋆蛝嫃囩壿膞錀搸耣蔩姰駗苠怋砏扟忳栶阠揗閺鷆咰魜鯙憌檈盷凐瀙燊帪裑柛秵瑃瑧鏔曟敒敐胂竴杶鴖慇攽馪搷甐斴陯泿鰆猌毥宒椕陙珒湣疄腀峷蚐杊踚穦堻覠訷夋璡荺姺姄份檭妽狋眴鵢璌鈱芢屾浾籈暙磌馻鯩鳼偱槇殝訰屒薽汮駨顮礗蜠鏻蒖敃縜圁灥囜猵迿莀薼暽欭秂閿昀抿捪嫀樄媋麎珅鍲㕙䑳䞭䄄㻞㲀䰠䟴䖜㡦䍰㡄䥎㝄㧢䋸㝇䆣㵮䣩㛛㙬㔂䁕䙉㟩㝙㵌㟗䯂䮼㰋䎙㘦䈯䝧䓐䠳䇹䢻䚬㰉㨉㭄䋋䃌䀼䖲䈁䣅䐜䡑䘩㑗䡅䳲䘜㫩䓰䧣㞶䞺㥲㡒㰬䔚䊁䨈䅸䪸㖘㚬㫳䢅㾕䧬㽦䐇㛙𦟘𪛊𡣎𢗋𡊹𡈳𣘘𣐽𧓍𠬍𥎊𧲂𩴱𧾝真浜槙隣
pC,云雲君聞文分群軍紛勤曛勛氛裙墳芬薰焚氳紋醺欣濆熏紜耘斤芹蚊汾芸懃葷筋沄忻殷棼雯緼蕡枌垠昕纁雰齦皸縕麇賁員矄熅狺鼢焄帉羵饙筠鼖觔廑慬蒀獯幩翂炘篔磤棻豶釿餴鄞瘽慇瘟鄖黂蝹彣轒馧妘熉蒶昐臐羒汶馩誾萉衯濦鴍岎溵馚眃鍕溳橨芠桾妢搵肦妏蒑魰秎煇斦鳼愪蒷懄閺馼耺囩菫炆鼤畃妡鴖橒敃蕓梤弅宭葐嚑歏邤鳻堇蚚縜蘄玟盺訜隫鐼拚閿砏朌鮶錀魵鈖䈥㜏㪊䘇䙧㶏䰚㷊㥯䴦䩿䦩㯣䌲㹞䢵䉙䎹㹜㸮䭻㮗䈽㚃䭽䒺䓄䖐䗼㞣䵫𣬩𦐈𪛊𥎊𣯻𤖘𨳚薫
pD,言園源原喧軒翻繁元垣猿煩冤轅暄藩樊蕃幡援萱鶱諼轓璠燔掀諠番黿鴛蘩反湲鵷鞬袁沅宛媛蹯墦膰礬爰袢籓蚖怨蜿嫄眢洹攑犍薠煊芫晅騵蠜笲拚阮喛暖槾甗螈裷貆僠樠咺鐇謜杬榞襎犿蒝瀪蒬鶢楥蓒娮昍喰臗笎瀿愃攐惌鷭琂箮喯靬豲帵佡睷榬蝖羱勫褑瀳橎媴葾翧噃溒鎱吅摱梡妴羳袸邧駌愋鱕抃嬎媗㠾䁔㟲䭈䊟䞿䚙㸋䓂䋦䪤䠝䉒㹇䖠㱪䋣䥉㓩䕰㨜㦥䮳䪛䇾㤋㹉䖤㪟䊕㥳䳦䲮䪃㓺㩮䚭䫶㺕䩩䡝𩒱𤄜𧔞𢬵𥂦𡍦𢐲𩛟𩔉𧑒𣘖𢅼𩐏門存昏魂村尊孫根痕恩論温樽坤吞奔盆閽渾昆暾藩屯崙豚捫蓀蹲飧敦墩鯤髡婚侖褌琨塤鵾惇跟噴賁惛垠黁燉沄掄臀璊猻啍輼焞湓飩拫緼芚亹們瘟魨虋鼲嶟軘蜳棔純囤焜吨蘊炖蜫餛憣搎穈殙弴縕忳噸渀混汶吩涒錕錛涽騉豱繜噋驐菎墫鶤旽葐殟槂瓫猑鷷惀瑥倴瘒撴蒽薞睯菛蟦庉貇喰鐼餫朜踚坉鞎霕怋菕棞禤犜溷暋澊黗訰緷轋惃瀳韞婨湣琿闦橔囩泍煾玧忶拵陯痻泿憞婫顐睧䑳䰟㹠䫒㖧䟂䐊㡓䴷㒭㮯㑮㱎䖵㬿㼔䴅㖹䗕䎜䕖䮝䡣䝠㛰㩔㯊䆭䵍䊐㸑㢯䃦㬈㻊㻹㼊䊩䔻𤟤𩒱𩖤𧢜𩌑𩔉𡿕𪙲
pE,寒看安難歡殘寛官端闌盤冠干丹餐蘭竿欄乾鸞鞍酸團觀壇彈巒玕肝湍瀾漫蟠桓灘丸珊完翰攢單嘆韓鑾槃岏欒刊殫般紈摶棺漙檀瞞鄲跚圞簞瘢杆驩刓繁潘磐鑽汗謾姍剜攔讙胖鞶襴柈曼奸磻拚攤巑鼾髖狻貛嘽番絙汍慱頇墁鰻倌芄判癱讕癉莞灤襌敦峘鑚鏝邗萑媻囒鞔貆饅顢鏄羱弁搬剸撣蹣洹涫眢樠剬渜荁迀幋拌槫攛嬗桉釺皖抏酇嚾豻驒垸悗鳱烷羉豲痑睕豌慲躝鴅捖獌縏跘婠鷒驙籣忓槾貚灓耑灡帵忨貒韊檲褍喰灒窤萈繟竱攼梡羦嫨犿瓛芉塼砃犴酄篅荌搫毌椯繵雗螌鍴蠸褩寏曫臗鱄吅嬏媏雃綄嫥鷤臤矕蒰偳靬聅鬗馯虷鋑帴瀊欗煓穳唌糷暕匰躦雈㡩㨏䜱㙔䕊㠆㒼㣋䖂䐷㐤䪍䴟䵎㽃䀂㫨㗄䊡㟨䐽㥇䝎䃲䵊䙁㙢䃪㿻㸩㱚㗈㶥䒥䉔䦡䮧䝔䧲䱗䯈䗙䗕䝜䆺䡽㛽㠝䢿㘓䈲㢖㱍䊜䬧㿪䜌䑌䒟㩛䝳䈀𩆓𢬵𧪙𥮚𦼉𣎅𪄿𡷗𧯡𡘍𥈼𡅻𤳖歓観残単団弾
pF,山間關還顔閑閒攀斑環班灣艱寰慳鬟蠻頑删彎潺湲殷菅潸頒鷳患姦扳闤斕鐶孱鰥瘝嫻綸鬘般訕鍰跧蕳黫圜瞷澴閂擐獌憪嬛狦虨癇僝豻鬝虤攽矕狠轘鳻螌眅詽矜澖掔羴朌臤肦葌覵馯曫睔譠羥瞯顅靬黰楌藖邖糫婜漹蛝硍㘖䰉㦨㻞㡲䚪䭴䃑䤽䅼䴉㘤㹕䡲㺗䓸㸶㰑㶎䦥䔵㗴㐴㯗䚲䂅䰋㣶䘎𠴨𤸷𪈿𪈮𤡥𧢞間関蛮湾
p11,年天然前邊仙船眠泉賢煙傳田憐川篇錢緣圓弦連姸懸筵全先顛禪偏鮮鞭遷蓮編千堅肩綿巓旋玄娟淵蟬箋翩牽宣權捐氊椽延鵑穿聯便煎拳廛騫阡鐫涎專旃焉漣燕纏躔愆僊虔膻涓鳶韉燃還鈿筌躚詮芊鉛壖湲蜒痊硏舷鋋邅埏蠲磚沿闐甄塡濺荃員乾攣韆鸇堧悁銓棉籩鱣湔鯿褰悛軿翾縣瀍饘咽駢佺蔫癲遄搴平嫣畋戔圈滇顴蚿蜷棬籛儇圜顓漩牷胼惓卷璇朘篿鬈孱挻弮揎潺綖蝝楩璿犍湮萹箯塼肰蠙跧蹎佃鼘菸瘨褼櫋眩蜎籼嬛鍵扇攧扁汧梴鋗獧鏈煽諞蠉諓睊豜譞嬋拴澶蝙撋櫞沺蹁瑄零嘕剸歅瓀濱輇仟單鰱篅懁幵駽岍鬋廯燀猭瞑駩祆扦楄竣胭儃窴婘甂孿狿騝噒枅蜁潫栴媊蟺碝絟捲輧玹勌烻鱄磌莚鐉媔攐栓嗹攓鞙唌餰耑骿蝒琁緶猵輲謰縓矎觠嫥矊翴蠸蹥琕閼羴鷆巏驙鶣鵳楥馢苮蟤媥葲縺犏僆茾蚈諯湶齤鰹盷鄢脠孉梋掔槤齻帴硟屇貚賆葥珗錕嫙鍹灒辿錈嫾鍽鰬腃奱玧璳瑔胘槫肙妶鷒漹惤厧玭詽純愃裫颴玆娫謜椯臤雃宀吅圌縳焆繵犈媗豣篶鰁臱虇暷槇碊箞姾摼鄟銒橪頨酀籈揙檈繎忓峑剈娹冿弲閍顅驠牑瑼鋑搷鯅垠瓹騚囨瀳剶杄汘鶰繟絭圱矏酄痃奾棩暶瞤熞瞏黇裐璸翧矔菺姩誸糄珚狋叀芇恮跰薽膞稨鋻傿脧奷檰郔癴瑏嬵葏㫋㾓䳌䅌㘋㳙㙻䒶㨎䚯㟀䔐䁣䀽䰓㭹㒽䏈䌑䂴㝰㔯㰃䟍㦁㥕㫟䇂䗠㼷㩲䋌䱲䌯䳿䠰䃛㲔㵪㓲䏃㳭䟧㢺䊙䋗䶬䀒䚈㳬䛲㘣䡘㼐䙲㮍䮄䀬㒰䀖䥖䡒㡉㷑䢬䲂㢟䗎䚊䮁䲆䣺䕼㿊㹡䗡䳣㮵㮌㗔䟒㾫㩊䘰㝚䥧㛹䑏䳒㢆㳄䙴䔳㜣䳪䉳䢴䲻䆤䨊㶌㒙䙭䁢㶜䚶㟫䄳㢧䧃䉦䃉㕙㿼𤲬𧾍𦧴𥑻𤣆𩉃𢑆𧹬𥳚𢏮𩕰𡣬𢮂𩥄𩑹𠬍𣖳𥌂𥮒円縁巻研県圏権専銭禅単伝浜辺槙
p12,朝遙橋消潮霄招寥條腰蕭飄宵簫銷驕搖饒樵苗凋瓢謡橈迢聊嬌綃焦嶢飆韶蕉標邀貂椒燒喬瑤翹堯瀟調超雕寮澆姚囂軺嶤描僚杓妖鑣遼嬈昭苕彫要颻梟跳憀髫蜩挑鴞撩譙漂歊貓蕘鷯夭徭翛刁枵窑驍祧僑陶麽幺嘵漻徼魈料臕僥膋佻痟幖弨趫硝彯晁瀌繇蹺岧憔猺繰熇燋恌穮嶠熛鰩瞧鍬嘹橇喓剽猋祅鼂蕎怊嶕蛸薸繚鏢齠鷦劭獢虈葽鷂燎礁憍飂珧鞗趬鐐鱎轎獠逍錨佬箾鐎鷮鰷翲僄愮褕嗂摽膘橑嫖訞蟟蟯碉嶛釗髟儦鞽叼揱蠨襓簥呺毊佋噍鄡脁膮暸怮票哨炤癆銚吆笤撬嘄麃虭嫽潚憭藨嵺飉嘌驃榣敹鶓櫹枖憢蟭驫蛁膫蟂颵蔈憿踃媱嫶瘭鋚爂烑荍瞗幧撨暚廫螵癄髎嘺彇鍣卲燆緰熮穚窷敫婤牊駋岹蓧鮡瞍緢奝褿鸄聎萩尞柖庣篍藃盄莜顠鴁橚翏篻莦顟磦刂玿弴狣啋犥謤蔋宎簝膲镽朷喿橾撽繑筄鄵灬菬鯛焇欩祒豂狕楆匋鎥獥鮹餆旫屪鐈旚皽魒隃贆孂妱璙顤鎐鉊刟穘蓨劁㵳䖴䮽䩦䁘㲖䖢䌃䎄䫞䚻䉼㝯㪣㓮䄏䀉㲵䨅䆙䳂㴅䒒䫿䎗㚠㼼䚺䵲㲬㕥㑾䁃㶮䜍㸈䕯䁭㚋䍃䶰㶾㡻䱔䩌䬙㨱䱁㟹㸛䅺䠛㠒䖺㯱䏆䢪䴩㹦䘟䁧䴛㲈䂏䳩㬸䙅㟘䯾㑸䌭䨭𦨣𢑁𨋫𪚰𢆷𤖻𧪬𤐫𤻁𩾗𪛕𥰜𣂁𦠎𢆽𢿣𦔩𩙚尭焼条揺遥瑶
p13,交巢梢郊茅嘲敲拋蛟包坳苞庖匏爻抄膠肴呶淆胞殽鈔鐃茆筲教譊磽捎哮凹稍崤嘐蛸茭泡抓骹旓髾跑炰鞘鮫虓炮咬烋聱髇弰啁磝怓庨瓟咆轇窼脬鵁媌詨勦轈鄛艄窙嚆漅麃撓刨謷枹婋跤筊訬吵犛颮嵺鵃樔齙硇狍鮹捊猇誵鞄鴢鶜軪痚涍髐硣賿謧墽窲梎姣佼穘掊焇礉骲娋觘摷颵渵軳挍尥耖窌頝摎笣爮勽獿郩灱藃脟繷罺鄗柪罞莦緢泑輎侾芁蹘摮顤宯嵪倄嚗嗃洨顟䫜䬘䘯䞴䜈㹲䫸䍊㺒䟁㤊䍖䮦䉰㬵䩝䂭㫴䰫䈰㿰䅦䄻䃩㮁䢒䴃䋂㤍䈾䂚㶀㕭𦾱𥲀𡻝𧓿𩎘𡡏𡥈𥊌𠐋𢿏𡏮𦗔𥑪𨚔巣
p14,高勞豪濤毛袍曹刀騷皋毫桃醪蒿逃遭號鰲牢舠陶旄髦韜滔遨褒膏搔操螯篙槽萄猱饕嘈縧嗷糟熬忉橰鏖壕敖翺艘璈濠臊櫜噑叨羔糕洮薅淘嘷繅囂獒尻颾咷醄綯艚撓螬鼛嚎鼗慆漕慅魛蚝裯嶆撈啕廒嶅掏謟溞轑芼驁蟧翿咎簩謷牦檮蜪幍挑酕裪綢嘮睾搯騊呺鏊氂爊澇慒槮祹耗癆諕蹧憹軞鷱傮浶嶗髝鷔訄詜夲鄋簝聎橾瑫岕鏪膫巎憥朷蔜抭釖蝚翢臑覒峱鱢褿嵪獓籇髛摮枆鰠嶩鄵椃獋饀嵍滶嫍匋蕔隞蓸槄夵鋾䬞㺜㹗㟉㯾䜊䝁䯌㺀㩝䛌㞵㯥䀞㬔㥰㫦㞪㲏䕅䥝䫽䑹䓘䛝䄚䐬㰏㩠㮘䦋䬢䜮㗦䤾䧫䲏䛬䫨䈱㠙䜎㜖䆁䭷䮯䵅㫞㤒䬭䝥㷮䑬㡟𢧴𩪋𧯌𩋃𣽎号騒労
p15,多何歌波過河羅和蘿磨跎柯戈阿坡科蓑娑峨荷摩娥梭哦珂魔皤窩訛窠鵝陀螺沱蛾禾駝酡莎呵他鼉挲婆訶麽頗疴渦那痾它苛莪軻哥佗拖牁磋騾馱鞾陁鍋瘥傞薖俄蛇蹉搓鑼囉迤儺矬蝌嶓鹺紽籮娿舸瑳婀蠡醝挪蠃挼囮吪艖倭屙鮀趖覼鄱砣沲睋犧劘儸迦唆瘸猧喎番嵯緺鈋邏茄痤嗦碆哪詑伽髿難玻蘑堶鸁桫捼盉鴕她岮莏菏獻柁鈛牱阤枷踒玀啵驒菠堝攞騀遳饠髁稞涹皒哬欏繁砢滒紴迗鴚渮萵虘咃萪鮻鼧袉誐錒鐹氌唩攎啝髍虆簻戨尛攠澕侳搫庹狏蒫戓魤濄鈳橠櫇覣躦翗覶睉妿姀魺嘙跢痑涐酇鉫犐鉕蔖楇蚵戂柇枙腡摞咼硪踻吔梛崜剆抲珴喛涶䯢㗻䋪䑘䃺㜑䌴䖸㽨䆼䈖䖕㤎䆧㱒䣜䴱䋍㔮䠡㰙䪑㸯㼠䐆䡐䭩䊨㿆䔀䔅䰿䤬䜏䝛㽿㚳䄉䴾㛖㸰㨇㭫㸫䒩䳗䯊㑚㩯㛗䓾㢦䌀㹻䍫𤄷𨠑𩒰𥟿𡡉𨍋𡹬𩴓𥞄𨹄𩞁𩕏𨰠𪘓犠献
p16,花家華斜霞沙涯賒鴉茶嗟車槎紗麻誇芽加遮嘉牙瓜嘩砂笳葩蛇衙邪遐差瑕琶夸奢耶叉蛙葭撾蝦拏巴裟些洼丫蟆呀他查娃爬啞谺爺楂罝芭枒窪蝸鋣騧畬哇窊髽笆椏伽珈媧杷髿檛岈麚琊跏艖茄鞾痂姱杈迦豭枷喳驊笯垞鯊豝柤挐緺雅渣揶羓污划椰闍瘕搽畲吧爹疤奓猳耞苴媽莎涂溠碬塗荼煆吒茬齇嘛荂鉈鍜騢嗏佘蕸齟啦咱叭呿耙粑鏵蹅颬犘皻袈鴐幏蚆釶秅靫鷨舥吾玡碴痧樺痲旯蚜唓孲嗻揢鈀畖瘑貑謯閕蒘莗踻錏筢釾蛼胍挓桬譇潖捓硰硨溛抯犽梌粆泇哆褨侉找峫咤抲癿苩謶秺婼袓鋘訍跒蒫蟼膼觰妑疨焻愘簻椵皅釫俹晇煱摦嫬腡嫅蔖誽銟睱椴笌捈夿吪歄腵浾哶諣潳藸咼鎈鴚吙犌燊搲祖鉫鍦䴥㲚䗫䨟䔑䃁㜘㧓䂟㿬䑡䠍㚙䶕䶥䄰䁟䈔䅿㠺㳸㛻䫚㾚䵷䯯㢒㰺䫗㭉㢉㭨䵙䦈䪗㝞㠏䣝䕒䩖㤉㗾㦄㗇㸺㧎䔢㸭䐤㸙㚗䛔䠸㖿㽋㹢䐒䏧䍓䯲䔤㗬䶗䓉㪥䯞㦋㦊㵃䖯𦬻𦳏𡤫𠜲𣩈𠽫𦭿𥂓𣘻𢳛𥯘𥍸𤶠𤘅𤹡𩊮𥥸𥡧𪓹𦰳𥡮
p17,香長光陽凉鄉堂霜方黃章腸郎芳茫場忙觴狂傷牀荒裳蒼忘王行妝梁常藏墻房翔塘桑亡央皇揚囊傍良嘗量羊岡張湘強唐漿莊廊康旁昌裝航商將楊浪疆當祥凰芒望昂妨鴦湯糧棠徨洋娘琅狼詳粱徉坊綱箱煌剛僵璫驤倉簧防篁檣償彰臧殃慷遑襄繮鋩鏘筐糠秧羌鋩穰姜殤肓滂廂榔螿崗瘡潢戕閶惶璋槍猖庠杭頏隍颺蹌彊攘緗暘相艎漳邙鋼璜肪魴驦匡蝗簹喪倡鸘薑汪吭瀼嫜襠禳麞倀螗螂尪創枋泱嬙孀薌勷湟糖娼鶬硠踉纕斨眶愴鎗樟盲滄橫逢稂贜筤霶蹡佯瘍蔣慶殭瓤卬鏜雱鐺障幫洸蜣罡粻螳膛牂餭艙碭慌桹鞅搪鑲偟菖杗肮膀煬萇瑲鱨亢忼鰉礓鍚桁痒鄣磅喤輬磺堈嫦堭瑭鴹样恇框迒鍠廧鞺鯧搶鬺蚄鉠鬤崀傏艡笐徬戧莨薔軖蟷瑒桄螃畺煻鼚烊嶈洭胱趪蝪衁熿薚枊彭昜漒蘉媓蕩葟彺燙啷嗆彷溏囔鎊饟蹚鰟闛鋃踼劻爿篣傽躟俍蘠蟥儴餦徜橿椋蠰嫏樘棡抰槺蛘魧滳慞癀篬韹蓈筕黆蘘葙螪欀牄翞姎朚鴋弜蚟匨躴蓎磄蔃鷬珖蔏垟犅鱂禓胦鎕汸裮佒砊篖鶶傹錆茪忀琩躿烺矘尙膷瑺綡莣邼獚哴鄌鱆恾邟崲撗咉粇埅騜欴瓺氜瓨炚榶妔艆垙羘霷嵢珜絴漮詤瑝蚢縍匚硄僙岇鼞凔鵟盳逿糃牨梉鑶謒皀暲橖鈁穔吂闣禟笀仼漟姯摚軭莔騯貥仰葁勆崵眏錩鸉苀鰑嵣膅騿眻嵻閍牥澢趽駺紻柍羏雵抂蔁胻欜赯獽斻摪淐晿嫝鄺嫎鋿疒邡婸愓諹㡛䍧䵼䁑䀪㫄䄱㽘䵃㝗㞷䅛䀮㙊䞹䥊䝶㠵䒢䛫㾿䯴㐬㼺㡃㼕㤚㱢㑌䲳㱂䅯䩷䢢㫕䍿䌅㦹㵴䗉㦂䪄䠙䒰䭹䗅䦭䯑㤺䊗䣼㾠䵰䬗㥬䗵㢜㾮㭃㹁㟍䏾䍭䀚㼚㨍㢃䌉㜍㭿䩕䧜䱀㭻㮜㝩䨦䮣䑟䡙㽆㟄䕬㲽㤃䠆䖱䅣䊣䅭䆡㙶㑽䆲䄃㶓䉎䐠㝑䔗䧛䌮㲥㚂㿝㿶䅨㹧䘕䯖䳨䮖䕋䗧䮲㹔㩖䣘㰠㽵㳾䉴𩗬𤮊𥏫𥐞𨎩𥡃𪄲𡉉𢪇𡮎𦵧𦳝𦯌𨾔𣁼𥁃𤙢横黄尚将穣荘装蔵当
p18,生聲情明清城名成行鳴平輕晴驚兵傾榮程橫京英營耕迎更卿盟纓爭精盈兄旌鶯嶸征瀛誠楹羹荆衡幷笙評莖烹鯨縈觥酲箏瓊氓萌嬰檠庚呈貞撐晶枰坑擎亨贏泓塋罌獰頳甍攖眀賡睛粳宏籯正嚶鐺甥轟櫻蘅鉦鏗餳嬴煢琤錚菁盛紘牲盲彭怦坪橙霙禎楨槍閎傖瑛珩丁瞠黥鍧鯖虻棚勍苹訇硜韺綳令鶄鸚瑩崢鼪騂黌瓔鶊瑩檉璚棖祊抨砰脝鎗猩蟶搶翃瀠怔儜谹鬡麖榜絣吰弸睜喤伻桁搒泙焭睘瞪哼薨蜻趟澎輣栟裎罃鬇嬛箐鍠姘輷頃瀯宬掁藑洺珵偵拼鍈膨禜鐄盯蟛渹咣濚猙蠑巆浤閛匉鈜浜鉎牼撜諻狌脭醟凈峸猄浾請鴊揁圊擰硼掙磞洴恲耾軯娙牚謍檸鋐鄳嫇誙嫈汯駍虰鼱揘晟硡騯眐筕觲蠳腈彋朾濴賏眳棦瀴啨炡媖蘡憉奟鮃竑佂閍悙鴴攍鑅絾棾媜艵萾稝夐摼嬫挰帲帡埩鸉苼輧殅憌倀雃摚橗痭嚝凔琁菮鑋宖饓鑏胻儝呯碤鼆娍廎妔嵤爃鎣郕臤蟼礯殸嬣聇婛鑍聙葏筬揨糽阷鶧銵竀硑碀邟洐俓柍珹寊鶁霐硻殌赹鋞湞汮瓗朠埥篣荿擏姃玶椖湦梈瑝羥泩莔胓靗棈蚲櫿瞏錓褮趽橩錋蝧簈韹葝浭樈砊劥珄埂麠垶煐烆嘭嗙渶䖟䪫䟫䲔䳟䬝䎕䃘䟓䉚䋊䆑㡕䙖䎴䭢䨍䗈䣐㮄䥋䊒㽒䝼㶈䨎䑫㓌䋫㒌䆸䨝䐵㹹㵬䨉㲆㼇㱶䇇䕦䡠䄘㘇䆖䊔䎽㚚㿮㛁䈍㣜䪯䱢㢬㲰䥰䦫㷣䵞㪅䴍䲼㰢䑉䁎䫆䁐㙃㔙䰃䍔䞓㧍㲂㝁䊅䡩䫺䢚㺸䆵䴤㤣䍬䯒䄓㧸㚾䦕㥊䡰䚘䔊㧶䍵䃷㿘㼩㹴䄇㙚䇸㬹㨕㢣𧭈𥋝𩘽𨆪𧁁𥥈𦪗𢏳𣥺栄営桜横茎軽声争
p19,靑星亭靈經冥形醒庭聽屛扃停萍馨零腥齡銘溟汀甁寧刑泠螢坰霆翎欞鈴苓熒婷丁舲廷型廳硎瓴涇俜蓂伶惺鴒軿陘蜓玲醽聆仃嚀竮釘渟蛉螟邢暝令囹鯖鉶莛駉瞑鞓箵町軨筳篂娉玎滎蓱鯹酃猩叮鼮嵉蘦鈃駢羚頩綎徑詅呤竛聹簈輧娗爧濙笭娙楟葶桯昤坽姈拎霝聠跉魿鉼瑆訂圊疔狌嫇帲駖榠甹蕶鋞狑絅鸋蛵砱蝏朎聤荓奵蛢帄柃靪睲鉎紷鎣侀鵧濴熲巠澪獜呬涄榳邒桱坙閝庁艼煋秢顈猽冂耓閮嬣藀鵛褮嵤銒朾諪帡鏻郱郬衑彾孁龗鹷耵鄍㹶䖅䴇䋼䛣㯪㩕䯕㡵㯏䤰䗌䅽㭢㼛䩠䆨㓅㣔䃏䙥㽮㻂䄙䉹䱓䦺䡿䯍䈂䉖䣆䁝䓑㤯㸳䌢䢛䶄䚖䤯䕘㝕䫤䉁㦭䡼㾉㪮㼗𦀚𤬐𧖧𧕝𩵀𦉬𧕅径経蛍青庁聴瓶霊齢
p1A,燈冰僧陵登層能升騰藤凭朋興曾蒸增憑澄棱乘憎凝繩勝鷹蠅膺稱仍承鵬肱嶒丞崩徵應矜澠罾兢鐙昇堘綾鬙繒懲蔆譍恆弘縢凌矰烝淩簦緪滕棚謄楞瞢礽馮崚鼟疼磳艿鄫淜幐鯪薨輘橧豋扔儚掤堋殑譝姮掕漰噌芿蕄僜碐憕癥薐冫噔鬅睖砯邆倗騬憴竳螣陾畻鞃脀洆儯竑焺奟抍痭璔篜婈竲譄顭苰鹶耺璒裬傰溗辸踜祾漛厷蘉倰穪膯熷膡夌錂焩驓鞥仱覴嬁鵿僌庱栤鱦塴鰧嵭氶敒陹揯㲪䔲䡌㱥䁬䎖㵗䕟䚮㭁䈊䲍㷥䔖䱆䕨䒱䱭㜴㥄䗀㮱䠮㥤䒐䕝䧙䄧㴰䧹䙞㐩䳾䬋䩑䇰䉕䒏䮪㖫䉄䨜㔁䡏㔰㺱㣒㞼㛵𦒃𧕄𧈜𩜁𨋬𧹈𤃶𢄑𩖎𤻴𧗆𤮘𪒿応恒称乗縄曽増徴灯
